Country,Year,CleanFuelAccess,ElectricityAccess,CO2Emissions,ElecPowerConsumption,CoalElectricity,HydroElectricity,GasElectricity,NuclearElectricity,OilElectricity,RenewableElectricity,RenewableElectricity_kWh,EnergyIntensity,EnergyUse,FossilFuelConsumption,GDPGrowth,GDPPerCapita,PrivateEnergyInvest,LandArea,PopDensity,TotalPopulation,PPP_EnergyInvest,RenewableEnergyConsumption,TotalGHGEmissions,Latitude,Longitude
Niger,2007,1.1,11.23807,0.054606,38.52899,67.85714,0.0,0.0,0.0,31.25,0.892857,2000000.0,5.45,124.8445,14.26757,3.142724,384.7183,152000000.0,1266700.0,11.76117,14897873.0,143000000.0,86.17,25429.76,17.60779,8.081666
Croatia,2001,100.0,99.99975,4.464558,2993.272,12.82593,56.22896,14.24321,0.0,16.7019,0.0,0.0,4.31,2024.547,77.78751,3.112462,5364.01,118000000.0,55912.0,76.90016,4299642.0,352000000.0,26.92,26023.97,45.1,15.2
Sudan,2009,29.4,29.0,0.470142,153.8174,0.0,49.7304,0.0,0.0,50.2696,0.0,0.0,3.51,496.3418,32.22586,-2.7677,1382.621,687000000.0,2376000.0,13.86707,32948155.0,687000000.0,63.1,95545.72,12.86281,30.21764
Ukraine,2011,94.5,99.99577,6.199227,3662.444,38.21173,5.614831,9.464575,46.29337,0.284691,0.130291,254000000.0,8.96,2768.925,79.55404,5.445281,3704.842,998000000.0,579320.0,78.8961,45706086.0,761000000.0,2.74,345050.8,48.37943,31.16558
Serbia,2012,69.4,99.7863,6.360565,4386.535,72.80418,25.6725,1.318736,0.0,0.185231,0.016588,6000000.0,5.69,2020.395,87.08941,-0.68154,6015.945,11400000.0,87460.0,82.31279,7199077.0,11400000.0,19.47,62462.45,44.01652,21.00586
Benin,2011,4.7,36.9,0.478349,89.03621,0.0,0.0,0.0,0.0,100.0,0.0,0.0,5.82,385.9386,39.43087,2.963753,1099.414,339000000.0,112760.0,86.25736,9726380.0,339000000.0,48.7,10546.27,9.30769,2.315834
Saudi Arabia,2018,100.0,99.89,15.0655,650.8008,0.0,29.70243,58.49372,0.0,11.80386,0.0,0.0,6.05,849.1222,72.37473,2.762244,24175.58,968000000.0,2149690.0,16.28985,35018133.0,968000000.0,0.01,715864.5,23.88594,45.07916
Djibouti,2002,4.2,49.7,0.506381,18682.61,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.1,4834.082,19.81178,3.02079,749.0816,178000000.0,23180.0,34.04353,789129.0,178000000.0,32.44,1257.473,11.82514,42.59028
Seychelles,2019,100.0,100.0,6.097823,27386.13,0.0,82.72533,0.0,0.0,0.060627,17.21405,1420000000.0,2.88,1979.3,0.0,4.876946,16851.12,4580000.0,460.0,212.2283,97625.0,19800000.0,1.21,760.3656,-4.67957,55.49198
Azerbaijan,2005,85.1,99.11944,3.580069,2388.389,0.0,13.15582,61.17086,0.0,25.67331,0.0,0.0,9.43,1599.961,97.11654,27.96154,1578.367,222000000.0,82660.0,101.5225,8391850.0,222000000.0,3.36,43537.95,40.14311,47.57693
Malta,2016,100.0,100.0,2.969764,11421.03,0.0,3.427158,34.05278,0.0,57.48596,4.030694,62200000.0,1.36,5489.826,90.96441,3.381116,25623.86,94440000.0,320.0,1422.988,455356.0,79870000.0,9.24,1874.915,35.9375,14.37542
France,2016,100.0,100.0,4.703476,2618.608,13.11395,7.452648,42.83194,31.17268,2.144385,3.095853,14000000000.0,3.56,2410.74,67.19969,1.095464,37062.53,1250000000.0,547557.0,121.8578,66724104.0,1250000000.0,14.25,433665.8,46.22764,2.213749
Mongolia,2017,46.9,93.62076,6.322775,1713.102,93.51456,0.0,0.0,0.0,4.897631,1.58781,85000000.0,6.05,1688.018,93.23323,5.636876,3708.248,120000000.0,1557255.0,1.988132,3096030.0,120000000.0,3.19,51464.86,46.8625,103.8467
Croatia,2020,100.0,100.0,3.860705,1817.248,23.90417,63.54069,7.42505,0.0,1.610442,3.519644,237000000.0,3.15,937.3366,70.57579,-8.58034,14236.54,92000000.0,55960.0,72.33167,4047680.0,168000000.0,32.37,21379.33,45.1,15.2
